Product Id,Category,Description,Product Code,Mandate Code,Digi Form Ref No
EFC-DAYS,6604,FEEA EFC - DAYS,868,NM 01,
FCAPS-DAYS,6650,FEEA - FCAPS - DAYS,872,NM 01,
FCBUFD-DAYS,6602,FCBU DAYS,875,NM 01,
FDLKRDAY,6633,DAYS LKR,864,NM 01,
NRFC-DAYS,6647,NRFC-DAYS,867,NM 01,
NRFC-DAYS-FEA,6652,FEEA FEA DAYS,874,NM 01,
NRRA-DAYS,6645,NRRA-DAYS,865,NM 01,
PITIRA-DAYS,6649,PITIRA-DAYS,870,NM 01,
RFC-DAYS,6646,RFC-DAYS,866,NM 01,
RNNFC-DAYS,6648,RNNFC-DAYS,869,NM 01,
SFIDA-DAYS,6609,SFIDA FCY Days,871,NM 01,
SFIDA-LKR-DAYS,6673,SFIDA LKR Days,892,NM 01,
SPLFCY-DAYS,6651,FEEA SPECIAL FCY - DAYS,873,NM 01,
ACHARA-MON,6686,ACHARA-MONTHLY,908,NM 01,
DIPLOMATIC-MON,6675,DIPLOMATIC FD MONTHLY,896,NM 01,
EFC-MONTHLY,6611,FEEA EFC MONTHLY,842,NM 01,
FCAISPE-MON,6685,FCAISPE-MONTHLY,903,NM 01,
FCAPS-MONTHLY,6626,FEEA FCAPS MONTHLY,846,NM 01,
FCBU-MONTHLY,6632,FCBU-MONTHLY,849,NM 01,
FCFDA-MONTHLY,6628,FCFDA-MONTHLY,850,NM 01,
LKR-MON,6614,MONTHLY LKR,838,NM 01,
NRBFD-MONTHLY,6679,NDBFD-MONTHLY,824,NM 01,
NREFCMGBP5LMONT,6620,FEEA FEA MONTHLY,848,NM 01,
NRFC-MONTHLY,6619,NRFC -MONTHLY,841,NM 01,
NRRA-MONTHLY,6606,NRRA MONTHLY,839,NM 01,
PITIRA-MONTHLY,6624,PITIRA-MONTHLY,844,NM 01,
RFCMON,6622,RFC MONTHLY,840,NM 01,
RNNFC-MONTHLY,6616,RNNFC MONTHLY,843,NM 01,
SFIDA-FDMON,6610,SFIDA MONTHLY,845,NM 01,
SFIDA-LKR-MONTH,6668,SFIDA LKR Monthly,890,NM 01,
SFNA-FCY-MON,6681,SENIOR FOREIGN NATIONALS FCY MON,822,NM 01,
SNRCIT-MON,6683,SP.INT SCH-SNR CIT-MON,902,NM 01,
SPCL-MONTHLY,6627,FEEA SPECIAL FCY MONTHLY,847,NM 01,
SIA FIXED DEPOSIT - MATURITY,6677,SIA FD MATURI,898,NM 01,
ACHARA-MAT,6687,ACHARA AT MATURITY,907,NM 01,
BFCAINDEXP-MAT,6694,BFCA IND EXPORTERS -MATURITY,909,NM 01,
DIPLOMATIC-MAT,6674,DIPLOMATIC FD MATURITY,895,NM 01,
DIPLOMATIC-MON,6675,DIPLOMATIC FD MONTHLY,896,NM 01,
EFC-MATURITY,6603,FEEA EFC - MATURITY,829,NM 01,
FCAISPE-MAT,6684,FCAISPE-MATURITY,904,NM 01,
FCAPSMAT,6617,FEEA FCAPS MATURITY,833,NM 01,
FCBU-MATURITY,6601,FCBU-MATURTY,836,NM 01,
FCFDA-MATURITY,6607,FCFDA MATURITY,837,NM 01,
FD-NONRES-MAT,6605,NRRA MATURITY,826,NM 01,
FDPITIRAMAT,6631,FD PITIRA LKR-MATURITY,831,NM 01,
FEEA-MATURITY,6678,FOREIGN EXCHANGE EARN - MAT,899,NM 01,
LKR-MATURITY,6613,MATURITY LKR,825,NM 01,
NRBFD-MATURITY,6669,NRBFD-MATURITY,894,NM 01,
NRFCFDFEAMMAT,6653,FEEA - FEA- MATURITY,835,NM 01,
NRFCMAT,6618,NRFC MATURITY,828,NM 01,
PFCADC-MAT,6691,PFCA DUAL CITIZEN MAT,910,NM 01,
RFCMAT,6621,RFC MATURITY,827,NM 01,
RNNFC-MATURITY,6623,RNNFC MATURITY,830,NM 01,
SFIDA-LKR-MAT,6671,SFIDA LKR Maturity,889,NM 01,
SFIDA-MATURITY,6612,SFIDA-MATURITY,832,NM 01,
SFNA-FCY-MAT,6680,SENIOR FOREIGN NATIONALS FCY MAT,823,NM 01,
SNRCIT-MATURITY,6682,SP.INT SCH-SNR CIT-MAT,901,NM 01,
SPCL-MATURITY,6625,FEEA SPECIAL FCY - MATURITY,834,NM 01,
CTRAMI-QUARTERLY,6695,CTRA MIG REG QUARTERLY,911,NM 01,
EFC-QUARTERLY,6636,FEEA EFC QUARTERLY,855,NM 01,
FCAPS-QUARTERLY,6640,FEEA FCAPS QUARTERLY,859,NM 01,
FCBU-QUARTERLY,6643,FCBU-QUARTERLY,862,NM 01,
FCFDA-QUARTERLY,6644,FCFDA-QUARTERLY,863,NM 01,
FD-QUARTERLY,6608,QUARTERLY LKR,851,NM 01,
NRFC-QUARTERLY,6635,NRFC-QUARTERLY,854,NM 01,
NRFC-QUARTLY-FEA,6642,FEEA FEA QUARTERLY,861,NM 01,
NRRA-QUARTERLY,6629,NRRA-QUARTERLY,852,NM 01,
PITIRA-QUARTERLY,6638,PITIRA QUARTERLY,857,NM 01,
RFC-QUARTERLY,6634,RFC QUARTERLY,853,NM 01,
RNNFC-QUARTERLY,6637,RNNFC-QUARTERLY,856,NM 01,
SFIDA-LKR-QUART,6672,SFIDA LKR Quarterly,891,NM 01,
SFIDA-QUARTERLY,6639,SFIDA-QUARTERLY,858,NM 01,
SPLFCY-QUARTERLY,6641,FEEA SPECIAL FCY QUARTERLY,860,NM 01,
EFC-ANNUALLY,6658,FEEA EFC ANNUALLY,880,NM 01,
FCAPS-ANNUALLY,6662,FEEA FCAPS ANNUALLY,884,NM 01,
FCBU-ANNUALLY,6665,FCBU ANNUALLY,887,NM 01,
FCFDA-ANNUALLY,6666,FCFDA ANNUALLY,888,NM 01,
LKR-ANNUALLY,6654,ANNUALLY LKR,876,NM 01,
NRFC-ANNUALLY,6657,NRFC ANNUALLY,879,NM 01,
NRFC-FEA-ANNUAL,6664,FEEA FEA ANNUALLY,886,NM 01,
NRRA-ANNUALLY,6655,NRRA-ANNUALLY,877,NM 01,
PITIRA-ANNUALLY,6660,PITIRA ANNUALLY,882,NM 01,
RFC-ANNUALLY,6656,RFC-ANNUALLY,878,NM 01,
RNNFC-ANNUALLY,6659,RNNFC ANNUALLY,881,NM 01,
SFIDA-FCY-ANNUAL,6661,SFIDA FCY ANNUALLY,883,NM 01,
SFIDA-LKR-ANNUAL,6667,SFIDA LKR ANNUALLY,893,NM 01,
SPCL-FCY-ANNUAL,6663,FEEA SPECIAL FCY ANNUALLY,885,NM 01,
PITIRA- 7 DAY C,6350,PITIRA- 7 DAY C,635,NM 01,
PRV-7 DAY CALL,6360,PRV-7 DAY CALL,636,NM 01,
RESIDENT FOREIG,6370,RESIDENT FOREIG,637,NM 01,
PFCA NRFC CALL,6380,PFCA NRFC CALL,638,NM 01,
PFCA RNNFC CALL,6390,PFCA RNNFC CALL,639,NM 01,
BFCA-CALL,6400,BFCA-CALL,640,NM 01,
FCBU - 7 DAY CA,6560,FCBU - 7 DAY CA,656,NM 01,
FCBU - 7 DAY CA,6570,FCBU - 7 DAY CA,657,NM 01,
