Product Id,Category,Description,Product Code,Mandate Code,Digi Form Ref No,Account Category Type
EFC-DAYS,6604,FEEA EFC - DAYS,868,NM 01,,Days Product
FCAPS-DAYS,6650,FEEA - FCAPS - DAYS,872,NM 01,,Days Product
FCBUFD-DAYS,6602,FCBU DAYS,875,NM 01,,Days Product
FDLKRDAY,6633,DAYS LKR,864,NM 01,,Days Product
NRFC-DAYS,6647,NRFC-DAYS,867,NM 01,,Days Product
NRFC-DAYS-FEA,6652,FEEA FEA DAYS,874,NM 01,,Days Product
NRRA-DAYS,6645,NRRA-DAYS,865,NM 01,,Days Product
PITIRA-DAYS,6649,PITIRA-DAYS,870,NM 01,,Days Product
RFC-DAYS,6646,RFC-DAYS,866,NM 01,,Days Product
RNNFC-DAYS,6648,RNNFC-DAYS,869,NM 01,,Days Product
SFIDA-DAYS,6609,SFIDA FCY Days,871,NM 01,,Days Product
SFIDA-LKR-DAYS,6673,SFIDA LKR Days,892,NM 01,,Days Product
SPLFCY-DAYS,6651,FEEA SPECIAL FCY - DAYS,873,NM 01,,Days Product
ACHARA-MON,6686,ACHARA-MONTHLY,908,NM 01,,Monthly Product
DIPLOMATIC-MON,6675,DIPLOMATIC FD MONTHLY,896,NM 01,,Monthly Product
EFC-MONTHLY,6611,FEEA EFC MONTHLY,842,NM 01,,Monthly Product
FCAISPE-MON,6685,FCAISPE-MONTHLY,903,NM 01,,Monthly Product
FCAPS-MONTHLY,6626,FEEA FCAPS MONTHLY,846,NM 01,,Monthly Product
FCBU-MONTHLY,6632,FCBU-MONTHLY,849,NM 01,,Monthly Product
FCFDA-MONTHLY,6628,FCFDA-MONTHLY,850,NM 01,,Monthly Product
LKR-MON,6614,MONTHLY LKR,838,NM 01,,Monthly Product
NRBFD-MONTHLY,6679,NDBFD-MONTHLY,824,NM 01,,Monthly Product
NREFCMGBP5LMONT,6620,FEEA FEA MONTHLY,848,NM 01,,Monthly Product
NRFC-MONTHLY,6619,NRFC -MONTHLY,841,NM 01,,Monthly Product
NRRA-MONTHLY,6606,NRRA MONTHLY,839,NM 01,,Monthly Product
PITIRA-MONTHLY,6624,PITIRA-MONTHLY,844,NM 01,,Monthly Product
RFCMON,6622,RFC MONTHLY,840,NM 01,,Monthly Product
RNNFC-MONTHLY,6616,RNNFC MONTHLY,843,NM 01,,Monthly Product
SFIDA-FDMON,6610,SFIDA MONTHLY,845,NM 01,,Monthly Product
SFIDA-LKR-MONTH,6668,SFIDA LKR Monthly,890,NM 01,,Monthly Product
SFNA-FCY-MON,6681,SENIOR FOREIGN NATIONALS FCY MON,822,NM 01,,Monthly Product
SNRCIT-MON,6683,SP.INT SCH-SNR CIT-MON,902,NM 01,,Monthly Product
SPCL-MONTHLY,6627,FEEA SPECIAL FCY MONTHLY,847,NM 01,,Monthly Product
SIA FIXED DEPOSIT - MATURITY,6677,SIA FD MATURI,898,NM 01,,Monthly Product
ACHARA-MAT,6687,ACHARA AT MATURITY,907,NM 01,,Other Maturity Products
BFCAINDEXP-MAT,6694,BFCA IND EXPORTERS -MATURITY,909,NM 01,,Other Maturity Products
DIPLOMATIC-MAT,6674,DIPLOMATIC FD MATURITY,895,NM 01,,Other Maturity Products
DIPLOMATIC-MON,6675,DIPLOMATIC FD MONTHLY,896,NM 01,,Other Maturity Products
EFC-MATURITY,6603,FEEA EFC - MATURITY,829,NM 01,,Other Maturity Products
FCAISPE-MAT,6684,FCAISPE-MATURITY,904,NM 01,,Other Maturity Products
FCAPSMAT,6617,FEEA FCAPS MATURITY,833,NM 01,,Other Maturity Products
FCBU-MATURITY,6601,FCBU-MATURTY,836,NM 01,,Other Maturity Products
FCFDA-MATURITY,6607,FCFDA MATURITY,837,NM 01,,Other Maturity Products
FD-NONRES-MAT,6605,NRRA MATURITY,826,NM 01,,Other Maturity Products
FDPITIRAMAT,6631,FD PITIRA LKR-MATURITY,831,NM 01,,Other Maturity Products
FEEA-MATURITY,6678,FOREIGN EXCHANGE EARN - MAT,899,NM 01,,Other Maturity Products
LKR-MATURITY,6613,MATURITY LKR,825,NM 01,,Other Maturity Products
NRBFD-MATURITY,6669,NRBFD-MATURITY,894,NM 01,,Other Maturity Products
NRFCFDFEAMMAT,6653,FEEA - FEA- MATURITY,835,NM 01,,Other Maturity Products
NRFCMAT,6618,NRFC MATURITY,828,NM 01,,Other Maturity Products
PFCADC-MAT,6691,PFCA DUAL CITIZEN MAT,910,NM 01,,Other Maturity Products
RFCMAT,6621,RFC MATURITY,827,NM 01,,Other Maturity Products
RNNFC-MATURITY,6623,RNNFC MATURITY,830,NM 01,,Other Maturity Products
SFIDA-LKR-MAT,6671,SFIDA LKR Maturity,889,NM 01,,Other Maturity Products
SFIDA-MATURITY,6612,SFIDA-MATURITY,832,NM 01,,Other Maturity Products
SFNA-FCY-MAT,6680,SENIOR FOREIGN NATIONALS FCY MAT,823,NM 01,,Other Maturity Products
SNRCIT-MATURITY,6682,SP.INT SCH-SNR CIT-MAT,901,NM 01,,Other Maturity Products
SPCL-MATURITY,6625,FEEA SPECIAL FCY - MATURITY,834,NM 01,,Other Maturity Products
CTRAMI-QUARTERLY,6695,CTRA MIG REG QUARTERLY,911,NM 01,,Quarterly Products
EFC-QUARTERLY,6636,FEEA EFC QUARTERLY,855,NM 01,,Quarterly Products
FCAPS-QUARTERLY,6640,FEEA FCAPS QUARTERLY,859,NM 01,,Quarterly Products
FCBU-QUARTERLY,6643,FCBU-QUARTERLY,862,NM 01,,Quarterly Products
FCFDA-QUARTERLY,6644,FCFDA-QUARTERLY,863,NM 01,,Quarterly Products
FD-QUARTERLY,6608,QUARTERLY LKR,851,NM 01,,Quarterly Products
NRFC-QUARTERLY,6635,NRFC-QUARTERLY,854,NM 01,,Quarterly Products
NRFC-QUARTLY-FEA,6642,FEEA FEA QUARTERLY,861,NM 01,,Quarterly Products
NRRA-QUARTERLY,6629,NRRA-QUARTERLY,852,NM 01,,Quarterly Products
PITIRA-QUARTERLY,6638,PITIRA QUARTERLY,857,NM 01,,Quarterly Products
RFC-QUARTERLY,6634,RFC QUARTERLY,853,NM 01,,Quarterly Products
RNNFC-QUARTERLY,6637,RNNFC-QUARTERLY,856,NM 01,,Quarterly Products
SFIDA-LKR-QUART,6672,SFIDA LKR Quarterly,891,NM 01,,Quarterly Products
SFIDA-QUARTERLY,6639,SFIDA-QUARTERLY,858,NM 01,,Quarterly Products
SPLFCY-QUARTERLY,6641,FEEA SPECIAL FCY QUARTERLY,860,NM 01,,Quarterly Products
EFC-ANNUALLY,6658,FEEA EFC ANNUALLY,880,NM 01,,Annualy Products
FCAPS-ANNUALLY,6662,FEEA FCAPS ANNUALLY,884,NM 01,,Annualy Products
FCBU-ANNUALLY,6665,FCBU ANNUALLY,887,NM 01,,Annualy Products
FCFDA-ANNUALLY,6666,FCFDA ANNUALLY,888,NM 01,,Annualy Products
LKR-ANNUALLY,6654,ANNUALLY LKR,876,NM 01,,Annualy Products
NRFC-ANNUALLY,6657,NRFC ANNUALLY,879,NM 01,,Annualy Products
NRFC-FEA-ANNUAL,6664,FEEA FEA ANNUALLY,886,NM 01,,Annualy Products
NRRA-ANNUALLY,6655,NRRA-ANNUALLY,877,NM 01,,Annualy Products
PITIRA-ANNUALLY,6660,PITIRA ANNUALLY,882,NM 01,,Annualy Products
RFC-ANNUALLY,6656,RFC-ANNUALLY,878,NM 01,,Annualy Products
RNNFC-ANNUALLY,6659,RNNFC ANNUALLY,881,NM 01,,Annualy Products
SFIDA-FCY-ANNUAL,6661,SFIDA FCY ANNUALLY,883,NM 01,,Annualy Products
SFIDA-LKR-ANNUAL,6667,SFIDA LKR ANNUALLY,893,NM 01,,Annualy Products
SPCL-FCY-ANNUAL,6663,FEEA SPECIAL FCY ANNUALLY,885,NM 01,,Annualy Products
PITIRA- 7 DAY C,6350,PITIRA- 7 DAY C,635,NM 01,,Call Products
PRV-7 DAY CALL,6360,PRV-7 DAY CALL,636,NM 01,,Call Products
RESIDENT FOREIG,6370,RESIDENT FOREIG,637,NM 01,,Call Products
PFCA NRFC CALL,6380,PFCA NRFC CALL,638,NM 01,,Call Products
PFCA RNNFC CALL,6390,PFCA RNNFC CALL,639,NM 01,,Call Products
BFCA-CALL,6400,BFCA-CALL,640,NM 01,,Call Products
FCBU - 7 DAY CA,6560,FCBU - 7 DAY CA,656,NM 01,,Call Products
FCBU - 7 DAY CA,6570,FCBU - 7 DAY CA,657,NM 01,,Call Products
