Currency,Description,Buying,Selling
USD ,US DOLLARS,168.40,173.90
GBP ,STERLING POUNDS,217.59,229.89
EUR ,EURO,190.09,201.27
CHF ,SWISS FRANCS,165.67,177.69
NZD ,NEW ZEALAND DOLLARS,106.40,114.18
JPY ,JAPANESE YEN,1.46,1.55
SGD ,SINGAPORE DOLLARS,120.87,126.73
HKD,HONGKONG DOLLARS,20.87,22.56
AUD ,AUSTRALIAN DOLLARS,118.12,125.10
CAD ,CANADIAN DOLLARS,127.31,135.58
MYR ,MALAYSIAN RINGGIT,,
DKK ,DANISH KRONE,25.31,27.17
NOK ,NORWEGIAN KRONE,19.94,21.25
SEK ,SWEDISH KRONA,18.14,19.29
THB ,THAI BAHT,4.92,5.44
AED ,UNITED ARAB EMIRATES DIRHAM,44.99,48.53
BHD ,BAHRAINI DINAR,435.19,466.18
KWD ,KUWAITI DINAR,529.09,581.33
OMR ,OMANI RIAL,426.35,456.34
SAR ,SAUDI RIYAL,43.74,47.51
CNY ,CHINESE YUAN,22.70,26.70
CNH , ,22.68,26.68
